,nome_imm,area_px,num_pixels,perimeter_px,circularity,solidity,compactness,feret_diameter,eccentricity
0,graphene_257479,473.5,1120,83.98570346832275,0.8435661005037071,36.42307692307692,0.01330064562352738,0.8030046687952503,0.47735075397533433
1,graphene_312780,578.0,1122,100.66161274909973,0.71681970297276,72.25,0.0156245339841264,0.8978438049046568,0.33123479215716334
2,graphene_226047,42.0,238,26.702805757522583,0.7401936605172648,5.25,0.07133251653901372,0.6354379720625646,0.7640463748378611
3,graphene_229365,1519.5,2652,188.01412677764893,0.5401689351080348,126.625,0.00877216394710936,1.1892478500481283,0.7850378844871907
4,graphene_221101,264.5,729,68.0750093460083,0.7172327651837049,33.0625,0.0240337873693882,0.7499213748508029,0.4975692770979777
5,graphene_170081,141.0,484,51.45593762397766,0.6692031616740274,20.142857142857142,0.0387977480329799,0.6363636363636364,0.3711537444790451
6,graphene_65954,386.0,930,81.06786251068115,0.7380736896244876,32.166666666666664,0.018307421951224867,0.784980950192023,0.347111589028538
7,graphene_54884,391.0,783,89.07927393913269,0.6192033314727956,39.1,0.025918795652902456,0.9291641968594222,0.46632137126854395
8,graphene_76601,275.0,676,65.89414930343628,0.7958823006079212,27.5,0.02335685267575875,0.7634283212515024,0.3836049474486352
9,graphene_64440,120.0,378,49.06033372879028,0.6265130387651878,20.0,0.05306252966446819,0.7916314842457493,0.5999999669531648
10,graphene_317310,675.0,1190,113.06255149841309,0.663553696420012,56.25,0.015914273951237238,0.909783698405263,0.27393360073428946
11,graphene_35834,1609.0,2688,177.54233598709106,0.6414488762383653,146.27272727272728,0.007288170953322719,1.1006110507733828,0.7571631403691614
12,graphene_152133,883.0,1862,133.05620408058167,0.6267586100115249,73.58333333333333,0.010767871858298105,0.9664578828261502,0.6122807804051955
13,graphene_150750,536.5,1760,127.28617811203003,0.4161185698172402,41.26923076923077,0.017158530816707016,0.9970636328376836,0.8045098098088286
14,graphene_4734,563.5,2050,105.08708834648132,0.6412170563257686,51.22727272727273,0.009559846895181398,0.6321468921602512,0.17608454539431456
15,graphene_126554,692.5,1258,122.74410045146942,0.5776015990215865,76.94444444444444,0.017294214294238653,0.9304083928170915,0.2443108408575316
16,graphene_231236,84.0,306,47.44242262840271,0.4689812005863435,12.0,0.08756549427528701,0.7431605356175384,0.532938710021193
17,graphene_168845,1317.5,2640,173.22956562042236,0.5517171132132105,146.38888888888889,0.008627589674268361,1.1077799812723104,0.7653960480844046
18,graphene_45604,181.0,552,58.48467469215393,0.6649734130834946,18.1,0.0342346982729509,0.715347546736612,0.41861618314239485
19,graphene_342273,11.5,108,16.597492933273315,0.524593275828773,2.3,0.2218009433736374,0.6885303185310934,0.9270248075173058
20,graphene_26504,1073.5,2576,159.38290548324585,0.5310414656030344,71.56666666666666,0.00918619312817006,1.0797485209079398,0.8492155078078344
21,graphene_86160,100.5,494,39.223766565322876,0.8208755770114212,11.166666666666666,0.030988858613228205,0.539905524799017,0.0
22,graphene_289998,927.5,2268,159.62927675247192,0.4574026647565941,84.31818181818181,0.012113457596617786,1.0568005830162417,0.7914646605298439
23,graphene_293654,880.5,1640,124.37442541122437,0.7152815937478703,62.892857142857146,0.01071245391086842,0.8593248244429308,0.15118357249192155
24,graphene_115798,94.0,315,47.09038162231445,0.5326884712410764,15.666666666666666,0.0748903762693418,0.9826074555287008,0.8206518284068278
25,graphene_277692,301.0,728,84.54173851013184,0.529217273319893,37.625,0.03261703456571277,0.8431302382788392,0.36235838965780054
26,graphene_65954,173.5,440,51.269184827804565,0.8294620458995697,21.6875,0.03443187467785677,0.7627700713964739,0.4841229182759271
27,graphene_218641,416.0,1023,88.67068529129028,0.664879686925792,32.0,0.018475285806327176,1.0026446384875483,0.7672590277927016
28,graphene_187672,1433.0,3078,172.25274181365967,0.6069092650799518,102.35714285714286,0.0067269388688523364,1.1275819493402046,0.8216968530111429
29,graphene_141720,199.5,550,58.812076807022095,0.7248025833170251,19.95,0.031522992739622384,0.736381061128067,0.4057627015613129
30,graphene_226491,561.5,1190,121.20785069465637,0.4802840057804175,51.04545454545455,0.021986939350656046,0.898645105261295,0.4913402003783167
31,graphene_269885,341.5,728,80.66999292373657,0.6594418942420371,37.94444444444444,0.02617591973965741,0.8502703871311259,0.2812743989058097
32,graphene_5852,904.0,1720,137.79361724853516,0.5983015010386177,82.18181818181819,0.012211283799673161,0.8921492210152624,0.32432432432432434
33,graphene_150649,100.5,340,47.146239042282104,0.5681746042122661,14.357142857142858,0.06505027380251699,0.8217357523230848,0.6960960795355713
34,graphene_4363,863.5,1764,125.75057244300842,0.6862024502279582,66.42307692307692,0.01038147395555996,0.8168169657389323,0.13968550913319164
35,graphene_64440,106.5,380,44.11259412765503,0.6877558222958927,13.3125,0.048083048200425624,0.7253645599480418,0.6249037389397237
