,nome_imm,numero_atomi,area_px,num_pixels,perimeter_px,circularity,solidity,compactness,feret_diameter,eccentricity
168,graphene_9271,341,1040.0,2014,156.0616102218628,0.5366004544421248,86.66666666666667,0.011627848419257805,1.047292816880728,0.7324218926833407
169,graphene_215071,378,14.0,144,18.885661125183105,0.4932572920920434,3.5,0.17691874808296248,0.6066757440567017,0.84905660031328
170,graphene_301861,402,91.5,304,42.625540256500244,0.6328359829511908,15.25,0.06531984045723767,0.6867277196936068,0.19610690360692473
171,graphene_260332,377,204.5,625,65.33268451690674,0.6020633197794509,22.72222222222222,0.03339547905084139,0.7221279907226562,0.11888673693517486
172,graphene_72383,409,14.0,156,14.957417249679565,0.7863659173182789,2.8,0.10243788039423618,0.3396830948855682,0.0
173,graphene_295314,246,1792.5,2912,218.6467022895813,0.47117600469542514,199.16666666666666,0.009158731516795561,1.0192178104090142,0.37438655058134557
174,graphene_137602,342,1006.5,1974,145.78619003295898,0.5951012612188727,77.42307692307692,0.010697242596036619,1.0421992094831651,0.695507847354074
175,graphene_341088,345,506.0,1155,95.39836978912354,0.6986802615794657,38.92307692307692,0.015572179659535544,0.7944613465542745,0.26963369960298245
176,graphene_114266,419,212.0,576,61.020912408828735,0.7154648970250865,21.2,0.030492922490876803,0.75,0.3286710990610898
177,graphene_294720,340,230.0,529,59.570762395858765,0.8144630445928248,23.0,0.029166398721327036,0.782608695652174,0.45812284729085123
178,graphene_203643,378,502.5,1054,97.61581206321716,0.6626826298715954,35.892857142857146,0.017991346426805884,0.8452014193548223,0.312250069104475
179,graphene_35834,275,1609.0,2688,177.54233598709106,0.6414488762383653,146.27272727272728,0.007288170953322719,1.1006110507733828,0.7571631403691614
180,graphene_123502,399,423.0,992,88.82585334777832,0.6737076122965525,42.3,0.018802982305157624,0.809345606003573,0.36800312783847106
181,graphene_190978,415,272.5,676,63.70793962478638,0.8437023349244529,24.772727272727273,0.022033014338176136,0.7517838844886193,0.4154752082828704
182,graphene_26779,327,56.0,270,34.58837962150574,0.5882168447822592,9.333333333333334,0.07912407439427205,0.7257965331436379,0.7383491945945683
183,graphene_288280,292,1508.5,2850,179.7843737602234,0.586477418984218,125.70833333333333,0.007518197128169774,1.0320673737903603,0.6113081590900638
184,graphene_139129,356,885.0,1640,116.81705927848816,0.8149680748970879,73.75,0.009402111987373443,0.8741407307137807,0.25816187538326796
185,graphene_286034,348,126.0,462,44.48116683959961,0.8002543926219957,11.454545454545455,0.03398911226915921,0.6579516947916415,0.5267827311670064
186,graphene_235262,339,1004.5,2352,163.98013854026794,0.46943698958243785,66.96666666666667,0.01138138827473879,1.1580851805828862,0.851881205516582
187,graphene_276384,385,228.5,528,67.2914068698883,0.6341278861061937,28.5625,0.037531773742862304,0.8111116219141918,0.33985949723145953
188,graphene_140218,244,1891.5,3074,235.5633418560028,0.4283519969506188,157.625,0.009543445659350273,0.9858617740727539,0.24671480089287035
189,graphene_327094,350,241.5,676,62.4345006942749,0.7785342322673021,21.954545454545453,0.023877313125212327,0.7288254224337064,0.43866930770104806
190,graphene_83195,302,516.5,1056,106.7911491394043,0.5691276300040928,46.95454545454545,0.02090914505873319,0.8616404368553291,0.3711537444790451
191,graphene_217930,439,8.0,108,11.498473405838013,0.7603603830810066,2.0,0.15302649382495837,0.3402069086329522,0.6000001078959171
192,graphene_1466,362,94.5,441,40.452794790267944,0.7256790907061728,11.8125,0.039266904374222346,0.5749889101300921,0.4581229494542962
193,graphene_47036,301,1129.5,2070,169.9100456237793,0.4916521993537013,112.95,0.012347571005885107,1.0057710378336402,0.4426036941903337
194,graphene_258850,384,609.0,1254,120.42827773094177,0.5276794796780471,55.36363636363637,0.01899075022619355,1.0860870529786453,0.8051852796858373
195,graphene_44513,259,1134.5,2332,203.2538697719574,0.3450934516644172,113.45,0.015615093877459343,1.2511860431430224,0.8545652727955009
196,graphene_150093,386,447.0,1080,114.12482190132141,0.43127785771235927,37.25,0.026979192505610098,1.1512993063072987,0.7931899357612046
197,graphene_153007,313,1099.5,2484,181.56796789169312,0.41910865715333934,99.95454545454545,0.012070677333321215,0.902893898143269,0.45812284729085123
198,graphene_27324,319,235.5,600,66.6578574180603,0.6660365697506454,23.55,0.03144564724392397,0.7783095805342469,0.46721013644890236
199,graphene_311058,365,367.0,841,83.71484732627869,0.6580682673108577,33.36363636363637,0.02270611949204803,0.7802556794265221,0.24803900022583047
200,graphene_260005,350,265.5,675,65.76170444488525,0.7714863875102831,26.55,0.024131139130900137,0.7905951349648601,0.45110030527248135
201,graphene_206537,389,588.0,1050,108.36155390739441,0.6292695858023954,58.8,0.01901883117140451,0.9258200997725515,0.4988876515698588
202,graphene_304892,378,323.0,783,75.05385828018188,0.7205536801810888,29.363636363636363,0.0222731561262811,0.7504787743864564,0.0
203,graphene_38634,357,475.5,1287,128.26593804359436,0.36319319444458364,52.833333333333336,0.026883983182472933,1.223931913576071,0.8755922899059202
204,graphene_57580,344,870.0,1634,142.74848127365112,0.5365202568507484,62.142857142857146,0.014334141522766165,1.1401887863636595,0.7583103674537002
205,graphene_137112,355,736.0,1628,122.23089158535004,0.61904998739514,73.6,0.012468946007495856,0.9417950344835584,0.6137844099837158
206,graphene_153647,366,648.0,2064,139.43638718128204,0.41882502845654074,54.0,0.014536757457478284,0.9171694714832377,0.7636016815993552
207,graphene_230853,357,830.5,1638,119.12882709503174,0.7353866965792902,63.88461538461539,0.01043230312368865,0.8839913108999469,0.40907659727122603
208,graphene_221380,361,777.0,1521,107.58025169372559,0.8436567212161036,55.5,0.009792980262160172,0.8533849471654648,0.35901088781735285
209,graphene_214395,375,668.5,1406,111.47450089454651,0.6760210239373086,41.78125,0.013221001083813522,0.8267401579471307,0.25194353793247254
210,graphene_167866,339,337.0,868,72.40665066242218,0.807760938056843,30.636363636363637,0.0179228591261676,0.7127864449672372,0.0
211,graphene_153280,392,428.5,825,127.31732153892517,0.33218934880886875,42.85,0.045853259400575816,0.9748348733519079,0.5150787536377128
212,graphene_287800,399,204.5,575,53.12850856781006,0.9104328666485838,22.72222222222222,0.024004578910512317,0.690053502607243,0.3243243561272072
213,graphene_267457,355,122.5,399,46.160998821258545,0.7224296431490597,17.5,0.04359547464940377,0.7509392614826383,0.5999999999999999
