nome_imm,numero_atomi,area_px,num_pixels,perimeter_px,circularity,solidity,compactness,feret_diameter,eccentricity
graphene_201728,340.0,848.0,1722.0,113.58981561660767,0.8258989749884518,49.88235294117648,0.008835879607284563,0.8081886715390141,0.19705703939591376
graphene_201990,332.0,1105.0,2205.0,142.82889604568481,0.680675286993578,69.0625,0.008372618194202415,0.9157230764999139,0.5095093558187592
graphene_202014,422.0,198.5,819.0,90.45718908309937,0.6176544320592626,16.55016792611251,0.051161796164869155,0.702651927296548,0.6095609101454476
graphene_202145,329.0,2158.5,4406.0,340.2815194129944,0.46873486319394236,91.0235910718885,0.01231026556870167,1.1376602305653,0.7924679083207589
graphene_202179,398.0,449.0,1114.0,102.75801992416382,0.7029510070092366,43.82919450631032,0.021111341221097344,0.816600883712183,0.3034164869372005
graphene_2022,358.0,822.5,1560.0,132.96814846992493,0.5845888501531112,54.833333333333336,0.013779540571677965,0.8859074219643552,0.267869762747935
graphene_20252,409.0,346.0,924.0,114.44616389274597,0.6613892929550125,21.3511232264845,0.050728484345478594,0.7650827036983345,0.2178589354272146
graphene_202582,318.0,1845.5,4014.0,342.85196912288666,0.5837534074528486,58.821261175833115,0.016272130796370538,0.949224359595692,0.5343734056221628
graphene_202839,356.0,839.0,1760.0,137.96143698692322,0.5539319384707956,55.93333333333333,0.012889640058170433,0.8411107366930355,0.23822839729020698
graphene_202934,412.0,324.0,713.0,90.22299361228943,0.5001731889694615,32.4,0.03523708108826909,0.9362573578414226,0.6939740629158989
graphene_203125,359.0,774.5,1688.0,140.25707697868347,0.7732710322467877,58.67444049924682,0.017810775512546787,0.8314992586927412,0.2776644753159789
graphene_203510,359.0,780.0,1824.0,133.53068733215332,0.5497209618930315,70.9090909090909,0.012532644834821532,0.958402436627114,0.7070523925884339
graphene_203643,378.0,633.0,1432.0,146.3093225955963,0.6686518910022659,32.97714962762357,0.02419161407008937,0.8437144751991807,0.37980794960827713
graphene_204018,327.0,2160.0,4627.0,305.6893525123596,0.5809449030692085,83.10438299162257,0.009458037854818403,1.0672936772601562,0.75220426605456
graphene_204375,432.0,81.5,556.0,45.62514519691467,0.7455801124458761,11.460633946830265,0.0554610091366975,0.6196195131917361,0.7117011064257126
graphene_204423,261.0,3231.0,5786.0,385.542298078537,0.5444441229555683,136.08089600742804,0.007964093922716927,1.1678815420520943,0.827786752246536
graphene_204738,389.0,561.5,1152.0,103.07552456855774,0.6641229942213369,43.19230769230769,0.01642513197085459,0.8332050381135232,0.16168702037804164
graphene_205102,393.0,449.0,1390.0,133.8719518184662,0.5419952174229631,36.90806023968607,0.029336598858294337,0.9362243078143361,0.7183816321603722
graphene_205205,379.0,621.0,1392.0,144.18646025657654,0.7703070621005736,38.93148880105402,0.03130456580022877,0.8693922296931686,0.5601920071265382
graphene_205391,317.0,1180.0,2352.0,215.31607234477997,0.6337329052504939,64.51781006187785,0.017094863588783083,0.8983105050060232,0.42870293385370334
graphene_205569,286.0,2357.5,4713.0,353.82018280029297,0.4739055965558779,113.12829304547225,0.01128256268715778,1.123913973985706,0.7216440648492566
graphene_205605,298.0,3616.0,6842.0,526.5200502872467,0.5814559628884454,116.43861446751379,0.012476810958199974,1.140983625611793,0.8044207306468667
graphene_205720,279.0,2949.0,5020.0,363.1945900917053,0.5618765929304497,153.2446874646773,0.008926540499519908,1.0185626495866018,0.5787931255588022
graphene_205761,325.0,1139.0,2301.0,196.41963958740234,0.5989217911005816,69.47462195398981,0.015269880892481243,1.0782553267773092,0.6862509391765557
graphene_205834,386.0,558.0,1314.0,136.35985922813416,0.6166263576639569,48.483870967741936,0.027825101710358097,0.9466692094671145,0.6266471783966738
graphene_205962,424.0,198.5,550.0,59.698578119277954,0.6999103252447867,24.8125,0.03264410560534493,0.9380831519646858,0.7713892158398701
graphene_206051,285.0,2908.0,5613.0,377.45784306526184,0.5141348507647774,120.96872994039431,0.008818462597518246,0.9958269625593581,0.5931277592327175
graphene_20615,442.0,22.5,312.0,27.336355447769165,0.7043149359169563,3.513333333333333,0.10929282273259007,0.47221067051639853,0.814115430993261
graphene_206462,406.0,380.0,930.0,83.64381051063538,0.6825364380250163,34.54545454545455,0.01979707707056898,0.7883560975730658,0.24074612130966183
graphene_206517,324.0,1183.0,2450.0,179.9128201007843,0.4592724414573993,98.58333333333333,0.011167948259049865,0.9881588065294625,0.5648692130455385
graphene_206537,389.0,588.0,1050.0,108.36155390739441,0.6292695858023954,58.800000000000004,0.01901883117140451,0.9258200997725515,0.49888765156985876
graphene_206569,263.0,3292.5,6056.0,412.647700548172,0.48545344017769526,145.57180690734222,0.008541095374253533,1.0754716747752042,0.6382938499766178
graphene_206828,308.0,1312.5,2652.0,168.7343966960907,0.5792978678357066,93.75,0.008179644222766272,0.8586285292270089,0.20044632594333078
graphene_20709,293.0,2524.0,4756.0,377.5892102718353,0.44616975194884234,126.21972898557685,0.011892957051112867,1.0735691819454687,0.6120615902682849
graphene_207254,332.0,1495.5,3588.0,349.771178483963,0.44026563607680835,47.36578110399575,0.024076978864673762,1.0569449843195493,0.6812033235536594
graphene_207269,407.0,323.5,1134.0,124.72382593154907,0.6353967851620761,20.210142967542502,0.04242820181155598,0.6829541398072927,0.28079280174444565
graphene_207591,351.0,894.5,2184.0,134.989173412323,0.6168681293825963,74.54166666666667,0.009327492254529722,0.9639253234509624,0.7591107474262931
graphene_207673,258.0,4492.5,8762.0,616.6782248020172,0.5084420689897711,110.4564774216694,0.010052022773741818,1.0061795106729743,0.6538801613027149
graphene_207753,358.0,845.5,1599.0,120.76197624206543,0.7285561907658854,60.392857142857146,0.010786942094492954,0.8987203013393472,0.3880897652343748
graphene_208051,354.0,883.5,1806.0,131.09383296966553,0.6460288225267959,55.21875,0.010770608092297865,0.815308840983768,0.20099668187218
graphene_20827,428.0,169.0,550.0,60.7799289226532,0.574878667069451,18.77777777777778,0.03974394577560812,0.8356397132717317,0.7116525590964234
graphene_208823,369.0,724.5,1640.0,121.45660281181335,0.617171687386961,55.73076923076923,0.012415380133133522,0.9754449584719602,0.7062595258802857
graphene_208894,442.0,40.0,195.0,28.90627408027649,0.6015692421274936,5.714285714285714,0.10712470271846981,0.5526570933641884,0.0
graphene_20890,325.0,1174.0,2632.0,168.87150287628174,0.5173270937338045,90.3076923076923,0.009229087318604605,1.0262716611127016,0.7362991960487236
