,numero_atomi,area_px,area_px_div_n_atomi,num_pixels,perimeter_px,perimeter_px_div_n_atomi,circularity,solidity,compactness,feret_diameter,eccentricity,total_energy
0,371.0,736.0,1.9838274932614555,1394.0,127.94806909561157,0.344873501605422,0.5649632596519717,73.6,0.015956104954166335,0.8854686389652481,0.11566180977638352,-3333.06849994
1,440.0,38.0,0.08636363636363636,192.0,38.096923828125,0.08658391779119318,0.3290134419002075,6.333333333333333,0.19892757746243947,0.7216878364870323,0.4358898943540673,-4005.54874466
2,367.0,818.5,2.2302452316076296,1911.0,200.15038633346558,0.5453689000911868,0.6701074958235443,38.28998312825435,0.026840048143016933,0.8946252031527179,0.47292049577473577,-3267.51548805
3,355.0,790.5,2.2267605633802816,1908.0,196.8397979736328,0.5544783041510783,0.5405203945691572,42.43519924098672,0.02612728589443728,0.845598570259894,0.4316154602581982,-3129.43540018
4,394.0,478.0,1.2131979695431472,1218.0,109.64966011047363,0.2782986297220143,0.7774383001922063,33.05569077888639,0.022288231843872255,0.7607961333646569,0.29841003721427883,-3540.93209687
5,285.0,2902.5,10.18421052631579,5613.0,384.13379859924316,1.3478378898219057,0.49612190057013794,140.9093023255814,0.009163073417896156,0.9914024724449078,0.5745061504299619,-2491.53654386
6,312.0,1299.5,4.165064102564102,2413.0,220.46905028820038,0.7066315714365397,0.680880666471111,64.63109743063572,0.015578903605056017,0.9095685329630627,0.3218228289590757,-2732.11726363
7,407.0,380.5,0.9348894348894349,973.0,120.85330438613892,0.2969368658136091,0.6237032636894572,23.00360371122526,0.03999956245502656,0.791740262420198,0.40769151582582447,-3667.48121528
8,409.0,309.0,0.7555012224938875,949.0,108.45552134513855,0.2651724238267446,0.6658140649701644,17.730764563106796,0.040341286624160366,0.7306832649474304,0.40591060052400274,-3681.96524706
9,245.0,3452.5,14.091836734693878,6001.0,423.42699670791626,1.7282734559506787,0.4863357704240179,164.6570594430913,0.008700490382197723,0.9968471524441644,0.49566116057617043,-2110.60350874
10,436.0,100.5,0.2305045871559633,340.0,47.146239042282104,0.1081335757850507,0.5681746042122661,14.357142857142858,0.06505027380251699,0.8217357523230848,0.6960960795355713,-3961.699687
11,386.0,1010.5,2.6178756476683938,2870.0,248.3670094013214,0.6434378481899519,0.4115087999280799,42.12373400968156,0.022180376483871708,1.0362204761479783,0.7646555872668351,-3459.13571646
12,354.0,883.0,2.494350282485876,1862.0,133.05620408058167,0.3758649832784793,0.626758610011525,73.58333333333333,0.010767871858298105,0.9664578828261502,0.6122807804051956,-3160.72017443
13,411.0,303.0,0.7372262773722628,775.0,72.62062644958496,0.17669252177514588,0.7219922081158987,27.545454545454547,0.0224582364992235,0.762417326837984,0.3575749917227222,-3704.10961783
14,321.0,1194.5,3.721183800623053,2537.0,165.66674160957336,0.5160957682541226,0.5469219545185001,74.65625,0.009056576077331556,1.0683852702283376,0.7736185942840539,-2836.46502823
15,328.0,3218.0,9.810975609756097,7244.0,651.1509441137314,1.9852162930296688,0.3782755838999467,88.34721233465797,0.018710295026790173,1.1736830045294364,0.8136062944411353,-2885.68393378
16,294.0,1317.5,4.4812925170068025,2640.0,173.22956562042236,0.5892162095932734,0.5517171132132105,146.38888888888889,0.008627589674268361,1.1077799812723104,0.7653960480844046,-2583.24918615
17,368.0,1246.5,3.3872282608695654,2496.0,232.7373148202896,0.6324383554899174,0.5695339445826282,48.9436875632724,0.01785172442550487,1.0860778804485007,0.752289278926076,-3286.22736499
18,429.0,141.0,0.32867132867132864,484.0,51.45593762397766,0.11994391054540247,0.6692031616740274,20.142857142857142,0.0387977480329799,0.6363636363636364,0.3711537444790451,-3892.12248025
19,366.0,751.5,2.0532786885245904,1678.0,134.118182182312,0.3664431207166995,0.7554634926573889,61.286427145708586,0.014954742189305861,0.8186450266848257,0.23063133219597795,-3274.27881439
20,411.0,362.5,0.8819951338199513,754.0,81.18669438362122,0.1975345362131903,0.691111559579486,40.27777777777778,0.024115171846481345,0.8497932480057567,0.2443112930964125,-3720.74961992
21,429.0,148.5,0.34615384615384615,506.0,55.40864443778992,0.12915767934216763,0.6078287903344431,16.5,0.04085809183313274,0.7238231699741273,0.41176434271638834,-3889.19767368
22,364.0,794.0,2.181318681318681,1400.0,117.10487771034241,0.3217166970064352,0.7275794038433668,61.07692307692309,0.01233676896685341,0.931827774721883,0.41566803196939767,-3259.81701295
23,330.0,1129.5,3.422727272727273,2450.0,152.62791085243225,0.4625088207649462,0.6092957935648955,80.67857142857143,0.008418129449071022,1.0366138677842445,0.7917765879205492,-2928.58152838
24,294.0,1433.0,4.874149659863946,3078.0,172.25274181365967,0.5858936796382982,0.6069092650799518,102.35714285714286,0.0067269388688523364,1.1275819493402046,0.8216968530111429,-2591.27511371
25,304.0,2655.0,8.733552631578949,5620.0,343.87775444984436,1.1311768238481723,0.564319010872251,88.50101694915254,0.007957721774181439,0.9097486197403352,0.46499255335569867,-2678.38299666
26,279.0,2949.0,10.56989247311828,5020.0,363.1945900917053,1.3017727243430297,0.5618765929304497,153.2446874646773,0.008926540499519908,1.0185626495866018,0.5787931255588022,-2441.28670558
27,430.0,132.5,0.3081395348837209,440.0,50.91605567932129,0.1184094318123751,0.6422679294730274,13.25,0.04446731948438672,0.7223460513236073,0.646610299467668,-3903.62434788
28,380.0,602.5,1.585526315789474,1575.0,143.5114459991455,0.37766169999775134,0.7002850302365197,28.50903642231443,0.02179934411358097,0.9158757558555879,0.6103451856407243,-3378.23903516
